建设单位,项目名称,许可证日期,分类结果,所有制类型,营销优先级,判断依据,置信度,是否可营销,是否需要人工核验,排除原因,官方来源链接
平谦现代产业园（南通海门）有限公司,平谦现代产业园（南通海门）有限公司-开闭所02,2026-07-20,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260721_2054430.htm
武泽精淮营养科技（江苏）有限公司,冬泽特医食品生产基地新建项目,2026-07-17,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260717_2052459.htm
未披露,立新小区九期,2026-07-15,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260715_2050722.htm
南通市海门正丰建设投资有限公司,支三路工程,2026-07-08,国有商业企业,state_owned_commercial,B,海门地方建设投资平台名称特征明确,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260709_2045539.htm
南通市海门正丰建设投资有限公司,骏园南侧规划支路,2026-07-08,国有商业企业,state_owned_commercial,B,海门地方建设投资平台名称特征明确,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260709_2045536.htm
南通市海门正丰建设投资有限公司,溯源南侧规划支路,2026-07-08,国有商业企业,state_owned_commercial,B,海门地方建设投资平台名称特征明确,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260709_2045541.htm
海门市华丰真空设备有限公司,年产50000台套真空泵、真空机组及配件项目,2026-07-06,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260707_2043828.htm
南通艾郎风电科技发展有限公司,艾郎风电三期年产1000套10兆瓦级以上大型风电叶片项目,2026-07-02,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260703_2040435.htm
中天钢铁集团（南通）有限公司,中天钢铁集团（南通）有限公司海关监管区项目—外贸库、备品间,2026-07-01,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202607/t20260702_2039580.htm
江苏祥耀新材料有限公司,江苏祥耀新材料有限公司年产高性能纤维丝1万吨、1.5万吨高性能纤维面料研发及制造项目,2026-06-23,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260629_2036162.htm
南亚新材料科技（江苏）有限公司,南亚新材料科技（江苏）有限公司基于AI算力的高阶高频高速覆铜板研发及产业化项目,2026-06-15,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260616_2028220.htm
未披露,江苏沿海输气管道如东-常熟-太仓段海门分输清管项目,2026-06-11,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260611_2025212.htm
江苏芯晶鼎科技有限公司,江苏芯晶鼎科技有限公司年产5000万米覆铜板专用电子级玻璃纤维布开发、生产项目,2026-06-04,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260610_2024070.htm
未披露,拓新辉年产30万套家用纺织品新建项目,2026-06-09,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260609_2023115.htm
欧派智能装备（南通）有限公司,欧派智能装备（南通）有限公司模具智能装备制造项目,2026-06-08,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260608_2021459.htm
南民国昌路业有限公司,CR23031地块项目(功能区二),2026-06-05,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260605_2020102.htm
未披露,威瑞新能源风电设备零部件项目,2026-06-05,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260605_2020364.htm
未披露,工业绿岛表面处理产业园项目（南侧）,2026-06-01,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202606/t20260601_2016509.htm
未披露,金益升轻量化高强度轻铝合金高端金属新材料生产项目,2026-05-28,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202605/t20260528_2013913.htm
通市健销食品有限公司,年产2万吨植物蛋白饮料、果汁及果酱类产品智能生产线新建项目,2026-05-28,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202605/t20260528_2013754.htm
海门经济技术开发区管理委员会,海门海太长江隧道保通及导改工程项目杭州路,2026-05-15,政府机关,government_agency,排除,建设单位名称明确包含政府机关关键词“管理委员会”,95,否,否,政府机关或财政项目,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202605/t20260515_2005019.htm
未披露,海门海太长江隧道保通及导改工程项目长安路,2026-05-15,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202605/t20260515_2005020.htm
未披露,海门海太长江隧道保通及导改工程项目厦门路,2026-05-15,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202605/t20260515_2005021.htm
平谦现代产业园（南通海门）有限公司,平谦现代产业园（南通海门）有限公司平谦国际（海门）现代产业园二期项目,2026-05-06,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202605/t20260506_1995029.htm
南通恒金复合材科有限公司,年产25万吨新能源汽车用高端铝合金板带箔智能化建设项目,2026-04-29,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260430_1994015.htm
凤鸣水郡文旅发展（南通）有限公司,凤佲水郡旅游度假中心项目,2026-04-23,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260427_1990671.htm
未披露,CR24013项目,2026-04-14,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260414_1978910.htm
南通森通新材料有限公司,南通森通新材料有限公司年产3万吨电子元件专用薄膜材料新建项目,2026-04-09,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260409_1975922.htm
江苏裕森福弹性元件有限公司,江苏裕森福弹性元件有限公司年产5万吨柔性材料及弹性元件研发、制造项目,2026-04-09,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260409_1975919.htm
未披露,京海集团总部改扩建项目,2026-04-01,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260407_1973444.htm
南通市海门正丰建设投资有限公司,新园路工程,2026-03-30,国有商业企业,state_owned_commercial,B,海门地方建设投资平台名称特征明确,85,是,否,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260402_1971227.htm
南通通港置业有限公司,海门港新区C21014地块,2022-01-24,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260402_1971231.htm
未披露,艾郎风电二期新建仓库工程,2026-03-31,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202604/t20260402_1971051.htm
江苏中兴精密机械有限公司,江苏中兴精密机械有限公司年产6000吨超高压开关设备组件技改项目,2026-03-30,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260331_1969067.htm
未披露,江苏沿海管道如东-常熟-太仓输气管线工程项目,2026-03-26,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260326_1965674.htm
未披露,南通市海门区15万千瓦30万千瓦时电网侧储能电站项目,2026-03-26,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260326_1965676.htm
美特奥智能科技（江苏）有限公司,美特奥智能科技（江苏）有限公司年产10万台智能精密检测设备、自动装配设备及医疗实验设备新建项目（变更）,2026-03-18,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260318_1959749.htm
未披露,空港邻里中心及智慧物流项目,2026-03-16,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260316_1957173.htm
南通市大岛石油机械有限公司,南通市大岛石油机械有限公司大岛年产80万套床上用品建设项目,2026-03-16,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260316_1957171.htm
江苏大岛机械集团有限公司,江苏大岛机械集团有限公司大岛年产600台高速电脑绗绣机建设项目,2026-03-16,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260316_1957172.htm
南通市恒威过滤设备有限公司,南通市恒威过滤设备有限公司高端精密过滤设备,2026-03-05,待核验,unknown,待核验,现有许可证仅披露单位名称，没有可靠登记类型或控股信息,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260305_1949887.htm
未披露,年产5000吨电子产品、光学、医疗领域专用PET磨砂膜项目,2026-03-05,待核验,unknown,待核验,建设单位缺失，无法判断所有制,0,否,是,,http://zrzy.jiangsu.gov.cn/nthm/gtzx/ghgs/jsxmphgb/202603/t20260305_1949884.htm
